Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,Habitat,Crevice Depth (cm),Crevice Width (cm),Position (m),Size (cm),Notes
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,10,5,22.6,5,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,5.5,
Soberanes,20021005,4,,,,,H_cracherodii,C,10,8,,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,20,5,4.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,20,5,4.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,20,9,9,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,20,9,9,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,30,7,19,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,30,7,19,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,10,5,19.4,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,10,5,19.4,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,10,5,29.2,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,15,10,20.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,15,10,20.8,6,
Soberanes,20021005,4,,,,,H_cracherodii,C,20,5,4.8,7,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,7,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,7,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,7,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,7,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,7,
Soberanes,20021005,4,,,,,H_cracherodii,C,5,5,15.8,8,
Soberanes,20021005,4,,,,,H_cracherodii,SD,,,9,7,
Soberanes,20021005,4,,,,,H_cracherodii,SD,,,22,4,
Soberanes,20021005,4,,,,,H_cracherodii,SD,,,21.9,4,
Soberanes,20021005,4,,,,,H_cracherodii,SD,,,26.7,4.5,
Soberanes,20021005,4,,,,,H_cracherodii,SD,,,23.5,4.5,
Soberanes,20021005,4,,,,,H_cracherodii,SD,,,23.4,5,
Soberanes,20021005,4,,,,,H_cracherodii,SD,,,14.7,6,
Soberanes,20021005,4,,,,,H_cracherodii,SD,,,2.9,7,
Soberanes,20021005,5,,,,,H_cracherodii,C,30,5,25,6,
Soberanes,20021005,5,,,,,H_cracherodii,C,30,5,25,7,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,2,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,3,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,3,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,3,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,4,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,4,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,4,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,4,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,5,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,5,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,6,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,6,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,6,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,6,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,7,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,7,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,7,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,7,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,60,30,15.3,8,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,9,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,9,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,9,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,9,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,9,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,9,
Malpaso,20021007,1,,,,,H_cracherodii,C,70,20,15.8,9,
Malpaso,20021007,1,,,,,H_cracherodii,C,40,20,15.2,9,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,10,
Malpaso,20021007,1,,,,,H_cracherodii,C,30,10,16.3,10,
Malpaso,20021007,1,,,,,H_cracherodii,C,150,60,13.7,11,
Malpaso,20021007,2,,,,,H_cracherodii,C,30,5,17.8,3,
Malpaso,20021007,2,,,,,H_cracherodii,C,10,3,17.7,4,
Malpaso,20021007,2,,,,,H_cracherodii,C,30,5,17.8,4,
Malpaso,20021007,2,,,,,H_cracherodii,C,30,5,17.8,5,
